DESCRIPTION,URL,PYTZ TIMEZONE,SOURCE
St. John's from Signal Hill,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/ime5SjsYrM9_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
St. John's from Admirals Greens,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/FtRv7RscdMl_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
Downtown St. John's,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/FtiWjTscdMV_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
Quidi Vidi Lake,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/GnpYXwscJf1_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
George Street,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/GNPhLAscIFd_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
Quidi Vidi Brewery,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/eJLPobsASYm_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
Logy Bay Road,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/ioAz4as0nmM_5?autoplay=1&mute=1,Canada/Newfoundland,NTV
Port De Grave,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/FLjkYBscbJq_5,Canada/Newfoundland,NTV
Green Shore Summerside,https://www.youtube.com/embed/6ezJq4jqAGk?autoplay=1&mute=1,Canada/Atlantic,Youtube
Edgewood Tahoe,https://share.earthcam.net/tJ90CoLmq7TzrY396Yd88EuwncqS_hRHM-P6bJrwPcQ!.tJ90CoLmq7TzrY396Yd88O87k9FviI0KvsfIt7imMzg!.tJ90CoLmq7TzrY396Yd88Jwhh43XxoA_EoIOx8e0mQY!,US/Pacific,Earthcam
Zephyr Cove,https://www.youtube.com/embed/Lk0Z5ExUWL0?autoplay=1&mute=1,US/Pacific,Youtube
Reno Arch,https://www.youtube.com/embed/laopqyiYlxg?autoplay=1&mute=1,US/Pacific,Youtube
Downtown OKC,https://g1.ipcamlive.com/player/player.php?alias=63bc6f8d7d9f4&disabledownloadbutton=1&autoplay=1&mute=1&hd=1,US/Central,IPCam
