DESCRIPTION,URL,PYTZ TIMEZONE,SOURCE
Mt Rose Lodge,https://5f4ad95bcff44.streamlock.net:444/mtrosecam/mtrosecam.stream/main_playlist.m3u8,US/Pacific,m3u8
Mt Rose Summit,https://5f9f690034fb0.streamlock.net:444/mtrose1/mtrose1.stream/main_playlist.m3u8,US/Pacific,m3u8
Mt Rose North View,https://streamer4.brownrice.com/mtrosesummit/mtrosesummit.stream/main_playlist.m3u8,US/Pacific,m3u8
Northstar Mt. Pluto Summit,https://streamer6.brownrice.com/northstarspluto/northstarspluto.stream/main_playlist.m3u8,US/Pacific,m3u8
Northstar mid-mountain,https://streamer4.brownrice.com/northstarmidmountain/northstarmidmountain.stream/main_playlist.m3u8,US/Pacific,m3u8
Heavenly Gondola Midstation,https://streamer2.brownrice.com/heavenlymidstation/heavenlymidstation.stream/main_playlist.m3u8,US/Pacific,m3u8
Heavenly Top of Tram,https://6555b9ac80a95.streamlock.net:444/heavenlytram/heavenlytram.stream/main_playlist.m3u8,US/Pacific,m3u8
Charlottetown ,https://media.gpei.ca/islandcam/guild.stream/playlist.m3u8,Canada/Atlantic,m3u8
Brookvale,https://media.gpei.ca/brookvale/Brookvale New.stream/playlist.m3u8,Canada/Atlantic,m3u8
Mt. Rose West Meadow,https://d2wse2.its.nv.gov:443/renoxcd02/94ce9220-7e98-417b-9c9a-5ce303401695_hspflirxcd02_public.stream/playlist.m3u8,US/Pacific,m3u8
Sand Harbor,https://d2wse2.its.nv.gov:443/renoxcd02/8e852198-2a9f-429f-8f9a-c7042fed512d_hspflirxcd02_public.stream/playlist.m3u8,US/Pacific,m3u8
